Benchmark,Data Cache,D$ Bytes Read,D$ Bytes Written,D$ Read Accesses,D$ Write Accesses,D$ Read Misses,D$ Write Misses,D$ Writebacks,D$ Miss Rate
bfs_matrix,32768:2:16,7639783,4340310,1912534,1085235,233822,254002,253576,16.273%
bfs_pointer,32768:2:16,297361,132180,76933,33192,79,4926,1,4.545%
conv2D,32768:2:16,3325479,1220578,833940,305293,78,10046,1,0.889%
fir,32768:2:16,27163089,15053144,6793348,3763456,8064,76927,27193,0.805%
kmean,32768:2:16,39450765,8338606,9865279,2084826,82,20798,1,0.175%
mm,32768:2:16,8399467,4416818,2102419,1104347,78,14910,1,0.467%
quicksort,32768:2:16,12497859,12511653,3128446,3131433,122,38505,2901,0.617%
sobel,32768:2:16,5781465,2145012,1818292,538346,82,21566,1,0.919%
bfs_matrix,65536:2:16,7639783,4340310,1912534,1085235,184692,253894,230840,14.630%
bfs_pointer,65536:2:16,297361,132180,76933,33192,79,4926,1,4.545%
conv2D,65536:2:16,3325479,1220578,833940,305293,78,10046,1,0.889%
fir,65536:2:16,27163089,15053144,6793348,3763456,137,68703,1602,0.652%
kmean,65536:2:16,39450765,8338606,9865279,2084826,82,20798,1,0.175%
mm,65536:2:16,8399467,4416818,2102419,1104347,78,14910,1,0.467%
quicksort,65536:2:16,12497859,12511653,3128446,3131433,83,38470,5,0.616%
sobel,65536:2:16,5781465,2145012,1818292,538346,82,21566,1,0.919%
bfs_matrix,64:2:32,7639783,4340310,1912534,1085235,142207,134429,143092,9.228%
bfs_pointer,64:2:32,297361,132180,76933,33192,3871,2938,4087,6.183%
conv2D,64:2:32,3325479,1220578,833940,305293,3785,7498,7934,0.990%
fir,64:2:32,27163089,15053144,6793348,3763456,33502,60509,62996,0.891%
kmean,64:2:32,39450765,8338606,9865279,2084826,190523,17406,21057,1.740%
mm,64:2:32,8399467,4416818,2102419,1104347,368971,22425,23034,12.205%
quicksort,64:2:32,12497859,12511653,3128446,3131433,101150,68250,125645,2.706%
sobel,64:2:32,5781465,2145012,1818292,538346,13039,21734,22962,1.476%
bfs_matrix,128:2:32,7639783,4340310,1912534,1085235,140184,132612,140014,9.100%
bfs_pointer,128:2:32,297361,132180,76933,33192,3122,2782,3738,5.361%
conv2D,128:2:32,3325479,1220578,833940,305293,2796,6350,6525,0.803%
fir,128:2:32,27163089,15053144,6793348,3763456,22535,52750,54819,0.713%
kmean,128:2:32,39450765,8338606,9865279,2084826,183993,15345,17317,1.668%
mm,128:2:32,8399467,4416818,2102419,1104347,263999,10732,11160,8.567%
quicksort,128:2:32,12497859,12511653,3128446,3131433,71786,50837,92337,1.959%
sobel,128:2:32,5781465,2145012,1818292,538346,9129,19197,19926,1.202%
bfs_matrix,256:2:32,7639783,4340310,1912534,1085235,134897,129962,133905,8.835%
bfs_pointer,256:2:32,297361,132180,76933,33192,1959,2692,3374,4.223%
conv2D,256:2:32,3325479,1220578,833940,305293,1873,5581,5467,0.654%
fir,256:2:32,27163089,15053144,6793348,3763456,19846,51638,52348,0.677%
kmean,256:2:32,39450765,8338606,9865279,2084826,180748,14940,15624,1.638%
mm,256:2:32,8399467,4416818,2102419,1104347,259685,8654,8699,8.368%
quicksort,256:2:32,12497859,12511653,3128446,3131433,50302,39372,68947,1.433%
sobel,256:2:32,5781465,2145012,1818292,538346,7390,18667,18728,1.106%
bfs_matrix,512:2:32,7639783,4340310,1912534,1085235,131444,128769,130834,8.680%
bfs_pointer,512:2:32,297361,132180,76933,33192,964,2588,2417,3.225%
conv2D,512:2:32,3325479,1220578,833940,305293,1544,5365,4803,0.606%
fir,512:2:32,27163089,15053144,6793348,3763456,17703,51057,50949,0.651%
kmean,512:2:32,39450765,8338606,9865279,2084826,176044,14682,14660,1.596%
mm,512:2:32,8399467,4416818,2102419,1104347,229745,8456,8108,7.428%
quicksort,512:2:32,12497859,12511653,3128446,3131433,33228,31376,51527,1.032%
sobel,512:2:32,5781465,2145012,1818292,538346,6718,18323,17806,1.063%
bfs_matrix,1024:2:32,7639783,4340310,1912534,1085235,129067,127561,128917,8.561%
bfs_pointer,1024:2:32,297361,132180,76933,33192,467,2502,1109,2.696%
conv2D,1024:2:32,3325479,1220578,833940,305293,1159,5217,3829,0.560%
fir,1024:2:32,27163089,15053144,6793348,3763456,16946,50733,49852,0.641%
kmean,1024:2:32,39450765,8338606,9865279,2084826,150547,14463,13920,1.381%
mm,1024:2:32,8399467,4416818,2102419,1104347,111988,8299,7395,3.751%
quicksort,1024:2:32,12497859,12511653,3128446,3131433,17277,24668,35563,0.670%
sobel,1024:2:32,5781465,2145012,1818292,538346,6007,17463,16106,0.996%
bfs_matrix,2048:2:32,7639783,4340310,1912534,1085235,128213,127289,128303,8.523%
bfs_pointer,2048:2:32,297361,132180,76933,33192,56,2473,213,2.296%
conv2D,2048:2:32,3325479,1220578,833940,305293,443,5144,1989,0.490%
fir,2048:2:32,27163089,15053144,6793348,3763456,16448,50544,48801,0.635%
kmean,2048:2:32,39450765,8338606,9865279,2084826,9297,13738,12831,0.193%
mm,2048:2:32,8399467,4416818,2102419,1104347,3987,7747,5682,0.366%
quicksort,2048:2:32,12497859,12511653,3128446,3131433,6659,21054,23099,0.443%
sobel,2048:2:32,5781465,2145012,1818292,538346,2582,14537,11467,0.726%
bfs_matrix,4096:2:32,7639783,4340310,1912534,1085235,127225,127165,127904,8.486%
bfs_pointer,4096:2:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,4096:2:32,3325479,1220578,833940,305293,55,5031,464,0.446%
fir,4096:2:32,27163089,15053144,6793348,3763456,12977,49990,45953,0.596%
kmean,4096:2:32,39450765,8338606,9865279,2084826,1225,12506,5782,0.115%
mm,4096:2:32,8399467,4416818,2102419,1104347,827,7507,2015,0.260%
quicksort,4096:2:32,12497859,12511653,3128446,3131433,2140,19631,13653,0.348%
sobel,4096:2:32,5781465,2145012,1818292,538346,420,11850,4876,0.521%
bfs_matrix,8192:2:32,7639783,4340310,1912534,1085235,124896,127074,127574,8.405%
bfs_pointer,8192:2:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,8192:2:32,3325479,1220578,833940,305293,46,5025,0,0.445%
fir,8192:2:32,27163089,15053144,6793348,3763456,4293,46485,34202,0.481%
kmean,8192:2:32,39450765,8338606,9865279,2084826,196,10431,1166,0.089%
mm,8192:2:32,8399467,4416818,2102419,1104347,46,7457,0,0.234%
quicksort,8192:2:32,12497859,12511653,3128446,3131433,165,19310,6330,0.311%
sobel,8192:2:32,5781465,2145012,1818292,538346,82,10812,1324,0.462%
bfs_matrix,16384:2:32,7639783,4340310,1912534,1085235,117405,127012,126911,8.153%
bfs_pointer,16384:2:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,16384:2:32,3325479,1220578,833940,305293,46,5025,0,0.445%
fir,16384:2:32,27163089,15053144,6793348,3763456,3965,38380,13337,0.401%
kmean,16384:2:32,39450765,8338606,9865279,2084826,50,10401,0,0.087%
mm,16384:2:32,8399467,4416818,2102419,1104347,46,7457,0,0.234%
quicksort,16384:2:32,12497859,12511653,3128446,3131433,85,19252,1490,0.309%
sobel,16384:2:32,5781465,2145012,1818292,538346,50,10785,0,0.460%
bfs_matrix,32768:2:32,7639783,4340310,1912534,1085235,92543,126947,115567,7.322%
bfs_pointer,32768:2:32,297361,132180,76933,33192,46,2465,0,2.280%
conv2D,32768:2:32,3325479,1220578,833940,305293,46,5025,0,0.445%
fir,32768:2:32,27163089,15053144,6793348,3763456,73,34353,820,0.326%
kmean,32768:2:32,39450765,8338606,9865279,2084826,50,10401,0,0.087%
mm,32768:2:32,8399467,4416818,2102419,1104347,46,7457,0,0.234%
quicksort,32768:2:32,12497859,12511653,3128446,3131433,50,19237,3,0.308%
sobel,32768:2:32,5781465,2145012,1818292,538346,50,10785,0,0.460%
bfs_matrix,64:4:16,7639783,4340310,1912534,1085235,268046,262142,271330,17.686%
bfs_pointer,64:4:16,297361,132180,76933,33192,4333,5706,6945,9.116%
conv2D,64:4:16,3325479,1220578,833940,305293,8641,15010,15542,2.076%
fir,64:4:16,27163089,15053144,6793348,3763456,64800,122248,124872,1.772%
kmean,64:4:16,39450765,8338606,9865279,2084826,366956,34530,38148,3.360%
mm,64:4:16,8399467,4416818,2102419,1104347,334000,24655,25496,11.184%
quicksort,64:4:16,12497859,12511653,3128446,3131433,153699,112969,198613,4.260%
sobel,64:4:16,5781465,2145012,1818292,538346,18506,40218,41272,2.492%
bfs_matrix,128:4:16,7639783,4340310,1912534,1085235,263989,259547,266276,17.464%
bfs_pointer,128:4:16,297361,132180,76933,33192,3441,5482,6430,8.103%
conv2D,128:4:16,3325479,1220578,833940,305293,5138,12616,12779,1.558%
fir,128:4:16,27163089,15053144,6793348,3763456,48828,109275,111218,1.498%
kmean,128:4:16,39450765,8338606,9865279,2084826,360314,31137,33028,3.276%
mm,128:4:16,8399467,4416818,2102419,1104347,271885,21845,22366,9.160%
quicksort,128:4:16,12497859,12511653,3128446,3131433,117366,89725,156250,3.308%
sobel,128:4:16,5781465,2145012,1818292,538346,15133,36801,37247,2.204%
